"diagnosis_penyakit","l","p","total","pasien_perhari","status"
"1,1      (H11.8) Other specified disorders of
42       conjunctiva","5","10","15","0.017045454545455","0"
"1,1      (R19.8) Other specified symptoms and
43       signs involving the digestive system and","11","4","15","0.017045454545455","0"
"1,1      (H33.0) Retinal detachment with retinal
44       break","12","3","15","0.017045454545455","0"
"1,1      (Q31.5) Congenital laryngomalacia 45","9","6","15","0.017045454545455","0"
"1,1      (R47.8) Other and unspecified speech
46       disturbances","8","7","15","0.017045454545455","0"
"1,1      (C61) Malignant neoplasm of prostate 47","15","0","15","0.017045454545455","0"
"1,1      (H11.1) Conjunctival degenerations and
48       deposits","3","12","15","0.017045454545455","0"
"1,1      (K13.0) Diseases of lips 49","5","10","15","0.017045454545455","0"
"1,1      (B97.7) Papillomavirus as the cause of
50       diseases classified to other chapters","6","9","15","0.017045454545455","0"
"1,1      (E80.7) Disorder of bilirubin metabolism,
51       unspecified","7","8","15","0.017045454545455","0"
"1,1      (M75.8) Other shoulder lesions 52","5","10","15","0.017045454545455","0"
"1,1      (L66.2) Folliculitis decalvans 53","7","8","15","0.017045454545455","0"
"1,1      (O21.1) Hyperemesis gravidarum with
54       metabolic disturbance","1","14","15","0.017045454545455","0"
"1,1      (R23.8) Other and unspecified skin
55       changes","7","8","15","0.017045454545455","0"
"1,1      (L21.8) Other seborrhoeic dermatitis 56","5","10","15","0.017045454545455","0"
"1,1      (I51.6) Cardiovascular disease,
57       unspecified","9","6","15","0.017045454545455","0"
"1,1      (H54.1) Blindness, one eye, low vision
58       other eye","14","1","15","0.017045454545455","0"
"1,1      (K58.9) Irritable bowel syndrome without
59       diarrhoea","10","5","15","0.017045454545455","0"
"1,1      (G70.0) Myasthenia gravis 60","6","8","14","0.015909090909091","0"
"1,1      (R80) Isolated proteinuria 61","5","9","14","0.015909090909091","0"
"1,1      (I21.4) Acute subendocardial myocardial
62       infarction","12","2","14","0.015909090909091","0"
"1,1      (L81.9) Disorder of pigmentation,
63       unspecified","4","10","14","0.015909090909091","0"
"1,1      (O80.1) Spontaneous breech delivery 64","0","14","14","0.015909090909091","0"
"1,1      (M65.4) Radial styloid tenosynovitis [de
65       Quervain]","2","12","14","0.015909090909091","0"
"1,1      (S91.0) Open wound of ankle 66","6","8","14","0.015909090909091","0"
"1,1      (H11.4) Other conjunctival vascular
67       disorders and cysts","5","9","14","0.015909090909091","0"
"1,1      (B85.2) Pediculosis, unspecified 68","5","9","14","0.015909090909091","0"
"1,1      (R22.3) Localized swelling, mass and
69       lump, upper limb","8","6","14","0.015909090909091","0"
"1,1      (O01.9) Hydatidiform mole, unspecified 70","0","14","14","0.015909090909091","0"
"1,1      (N94.8) Other specified conditions
71       associated with female genital organs","0","14","14","0.015909090909091","0"
"1,1      (K60.0) Acute anal fissure 72","9","5","14","0.015909090909091","0"
"1,1      (K10.8) Other specified diseases of jaws 73","7","7","14","0.015909090909091","0"
"1,1      (L20.0) Besnier`s prurigo 74","3","11","14","0.015909090909091","0"
"1,1      (A51.9) Early syphilis, unspecified 75","14","0","14","0.015909090909091","0"
"1,1      (R25.2) Cramp and spasm 76","3","11","14","0.015909090909091","0"
"1,1      (O72.2) Delayed and secondary
77       postpartum haemorrhage","0","14","14","0.015909090909091","0"
"1,1      (A54.0) Gonococcal infection of lower
78       genitourinary tract without periurethral or","14","0","14","0.015909090909091","0"
"1,1      (Z36.1) Antenatal screening for raised
79       alphafetoprotein level","0","14","14","0.015909090909091","0"
"1,1      (T31.1) Burns involving 10-19% of body
80       surface","5","9","14","0.015909090909091","0"
"1,1      (I87.2) Venous insufficiency (chronic)
81       (peripheral)","6","8","14","0.015909090909091","0"
"1,1      (B77.9) Ascariasis, unspecified 82","5","9","14","0.015909090909091","0"
"1,1      (M17.4) Other secondary gonarthrosis,
83       bilateral","3","11","14","0.015909090909091","0"
"1,1      (M25.50) Pain in joint, multiple sites 84","6","7","13","0.014772727272727","0"
"1,1      (H68.1) Obstruction of Eustachian tube 85","6","8","14","0.015909090909091","0"
"1,1      (T21.1) Burn of first degree of trunk 86","7","7","14","0.015909090909091","0"
"1,1      (M79.94) Soft tissue disorder,
87       unspecified, hand","8","5","13","0.014772727272727","0"
"1,1      (C20) Malignant neoplasm of rectum 88","4","10","14","0.015909090909091","0"
"1,1      (H04.2) Epiphora
89","5","9","14","0.015909090909091","0"
"1,1      (S51.9) Open wound of forearm, part
90       unspecified","12","2","14","0.015909090909091","0"
"1,1      (D56.0) Alpha thalassaemia 91","2","12","14","0.015909090909091","0"
"1,1      (E44.0) Moderate protein-energy
92       malnutrition","8","6","14","0.015909090909091","0"
"1,1      (M13.91) Arthritis, unspecified, shoulder
93       region","3","11","14","0.015909090909091","0"
"1,1      (R09.1) Pleurisy
94","7","7","14","0.015909090909091","0"
"1,1      (M79.24) Neuralgia and neuritis,
95       unspecified, hand","3","11","14","0.015909090909091","0"
"1,1      (A60.0) Herpesviral infection of genitalia
96       and urogenital tract","5","9","14","0.015909090909091","0"
"1,1      (A41.9) Septicaemia, unspecified 97","6","8","14","0.015909090909091","0"
"1,1      (Z90.5) Acquired absence of kidney 98","1","13","14","0.015909090909091","0"
"1,1      (Z09.7) Follow-up examination after
99       combined treatment for other conditions","12","2","14","0.015909090909091","0"
"1,2      (S99.7) Multiple injuries of ankle and foot 00","10","4","14","0.015909090909091","0"
"1,2      (H62.0) Otitis externa in bacterial 01       diseases classified elsewhere","8","6","14","0.015909090909091","0"
"1,2      (H27.0) Aphakia
02","1","13","14","0.015909090909091","0"
"1,2      (H73.9) Disorder of tympanic membrane, 03       unspecified","8","6","14","0.015909090909091","0"
"1,2      (Z03.3) Observation for suspected 04       nervous system disorder","4","10","14","0.015909090909091","0"
"1,2      (W26) Contact with knife, sword or 05       dagger causing accidental injury","9","5","14","0.015909090909091","0"
"1,2      (S69.9) Unspecified injury of wrist and 06       hand","8","6","14","0.015909090909091","0"
"1,2      (A88.1) Epidemic vertigo 07","3","11","14","0.015909090909091","0"
"1,2      (G80.8) Other infantile cerebral palsy 08","8","5","13","0.014772727272727","0"
"1,2      (O03.3) Spontaenous abortion,
09       incomplete, with other and unspecified","1","12","13","0.014772727272727","0"
"1,2      (D17.3) Benign lipomatous neoplasm of
10       skin and subcutaneous tissue of other","5","8","13","0.014772727272727","0"
"1,2      (H62.4) Otitis externa in other diseases
11       classified elsewhere","5","8","13","0.014772727272727","0"
"1,2      (E04.0) Nontoxic diffuse goitre 12","4","9","13","0.014772727272727","0"
"1,2      (J12.8) Other viral pneumonia 13","9","4","13","0.014772727272727","0"
"1,2      (L50.1) Idiopathic urticaria 14","5","8","13","0.014772727272727","0"
"1,2      (R39.8) Other and unspecified
15       symptoms and signs involving the","5","8","13","0.014772727272727","0"
"1,2      (N93.0) Postcoital and contact bleeding 16","0","13","13","0.014772727272727","0"
"1,2      (M81.9) Osteoporosis, unspecified 17","0","13","13","0.014772727272727","0"
"1,2      (N60.4) Mammary duct ectasia 18","0","13","13","0.014772727272727","0"
"1,2      (N19) Unspecified renal failure 19","5","8","13","0.014772727272727","0"
"1,2      (K52.0) Gastroenteritis and colitis due to
20       radiation","8","5","13","0.014772727272727","0"
"1,2      (L42) Pityriasis rosea 21","6","7","13","0.014772727272727","0"
"1,2      (O12.1) Gestational proteinuria 22","0","13","13","0.014772727272727","0"
"1,2      (E13.0) Other specified diabetes mellitus
23       with coma","3","10","13","0.014772727272727","0"
"1,2      (K76.8) Other specified diseases of liver 24","8","5","13","0.014772727272727","0"
"1,2      (O44.0) Placenta praevia specified as
25       without haemorrhage","0","13","13","0.014772727272727","0"
"1,2      (N95.9) Menopausal and
26       perimenopausal disorder, unspecified","0","13","13","0.014772727272727","0"
"1,2      (S60.8) Other superficial injuries of wrist
27       and hand","8","5","13","0.014772727272727","0"
"1,2      (S01.5) Open wound of lip and oral
28       cavity","7","6","13","0.014772727272727","0"
"1,2      (T24.2) Burn of second degree of hip
29       and lower limb, except ankle and foot","6","7","13","0.014772727272727","0"
"1,2      (R25.1) Tremor, unspecified 30","10","3","13","0.014772727272727","0"
"1,2      (H15.1) Episcleritis
31","3","10","13","0.014772727272727","0"
"1,2      (L04.3) Acute lymphadenitis of lower
32       limb","7","6","13","0.014772727272727","0"
"1,2      (K45.8) Other specified abdominal
33       hernia without obstruction or gangrene","12","1","13","0.014772727272727","0"
"1,2      (S80.7) Multiple superficial injuries of
34       lower leg","5","8","13","0.014772727272727","0"
"1,2      (O30.0) Twin pregnancy 35","3","10","13","0.014772727272727","0"
"1,2      (M89.46) Other hypertrophic
36       osteoarthropathy, lower leg","0","13","13","0.014772727272727","0"
"1,2      (R06.7) Sneezing
37","5","8","13","0.014772727272727","0"
"1,2      (T15.8) Foreign body in other and
38       multiple parts of external eye","9","4","13","0.014772727272727","0"
"1,2      (I82.9) Embolism and thrombosis of
39       unspecified vein","4","9","13","0.014772727272727","0"
"1,2      (L63.9) Alopecia areata, unspecified 40","6","7","13","0.014772727272727","0"
"1,2      (J81) Pulmonary oedema 41","8","5","13","0.014772727272727","0"
"1,2      (D68.8) Other specified coagulation
42       defects","11","2","13","0.014772727272727","0"
"1,2      (S90.7) Multiple superficial injuries of
43       ankle and foot","7","6","13","0.014772727272727","0"
"1,2      (T20.1) Burn of first degree of head and
44       neck","5","8","13","0.014772727272727","0"
"1,2      (I20.8) Other forms of angina pectoris 45","6","7","13","0.014772727272727","0"
"1,2      (S09.8) Other specified injuries of head 46","9","4","13","0.014772727272727","0"
"1,2      (S62.6) Fracture of other finger 47","10","3","13","0.014772727272727","0"
"1,2      (F32.0) Mild depressive episode 48","3","10","13","0.014772727272727","0"
"1,2      (M54.52) Low back pain, cervical region 49","2","10","12","0.013636363636364","0"
"1,2      (R41.8) Other and unspecified
50       symptoms and signs involving cognitive","5","7","12","0.013636363636364","0"
"1,2      (L08.1) Erythrasma
51","3","9","12","0.013636363636364","0"
"1,2      (Z91.0) Personal history of allergy, other
52       than to drugs and biological substances","7","5","12","0.013636363636364","0"
"1,2      (T17.0) Foreign body in nasal sinus 53","5","6","11","0.0125","0"
"1,2      (B83.0) Visceral larva migrans 54","10","2","12","0.013636363636364","0"
"1,2      (K11.3) Abscess of salivary gland 55","6","6","12","0.013636363636364","0"
"1,2      (H62.2) Otitis externa in mycoses 56","4","8","12","0.013636363636364","0"
"1,2      (I78.1) Naevus, non-neoplastic 57","8","4","12","0.013636363636364","0"
"1,2      (N91.0) Primary amenorrhoea 58","0","12","12","0.013636363636364","0"
"1,2      (O02.8) Other specified abnormal
59       products of conception","1","11","12","0.013636363636364","0"
"1,2      (B24) Unspecified human
60       immunodeficiency virus [HIV] disease","6","6","12","0.013636363636364","0"
"1,2      (W44) Foreign body entering into or
61       through eye or natural orifice causing","9","3","12","0.013636363636364","0"
"1,2      (H25.1) Senile nuclear cataract 62","5","7","12","0.013636363636364","0"
"1,2      (I09.9) Rheumatic heart disease,
63       unspecified","3","9","12","0.013636363636364","0"
"1,2      (G52.9) Cranial nerve disorder,
64       unspecified","5","7","12","0.013636363636364","0"
"1,2      (M96.6) Fracture of bone following
65       insertion of orthopaedic implant, joint","3","9","12","0.013636363636364","0"
"1,2      (M54.97) Dorsalgia, unspecified,
66       lumbosacral region","4","8","12","0.013636363636364","0"
"1,2      (M53.0) Cervicocranial syndrome 67","2","10","12","0.013636363636364","0"
"1,2      (H57.1) Ocular pain 68","6","6","12","0.013636363636364","0"
"1,2      (L99.0) Amyloidosis of skin 69","5","7","12","0.013636363636364","0"
"1,2      (J98.9) Respiratory disorder, unspecified 70","2","10","12","0.013636363636364","0"
"1,2      (S62.80) Fracture of other and
71       unspecified parts of wrist and hand,","7","5","12","0.013636363636364","0"
"1,2      (N97.9) Female infertility, unspecified 72","0","12","12","0.013636363636364","0"
"1,2      (H40.8) Other glaucoma 73","4","8","12","0.013636363636364","0"
"1,2      (C91.0) Acute lymphoblastic leukaemia 74","8","4","12","0.013636363636364","0"
"1,2      (I82.8) Embolism and thrombosis of
75       other specified veins","6","6","12","0.013636363636364","0"
"1,2      (M41.9) Scoliosis, unspecified 76","5","7","12","0.013636363636364","0"
"1,2      (R20.8) Other and unspecified
77       disturbances of skin sensation","4","8","12","0.013636363636364","0"
"1,2      (E11.1) Non-insulin-dependent diabetes
78       mellitus with ketoacidosis","3","9","12","0.013636363636364","0"
"1,2      (C56) Malignant neoplasm of ovary 79","0","12","12","0.013636363636364","0"
"1,2      (B37.8) Candidiasis of other sites 80","6","6","12","0.013636363636364","0"
"1,2      (K10.3) Alveolitis of jaws 81","5","7","12","0.013636363636364","0"
